name,color,age,sex,country,grumpy,fearful_of_people,playful,friendly_to_people,clumsy,greedy,owner_phone,missing_date
Gidget,grey and black,7,Male,USA,1,2,7,7,6,3,651-8004817,03/09/2015
Jade,salt and pepper,2,Male,UK,4,5,3,2,2,3,651-8872285,04/30/2019
Bagel,orange,18,Male,USA,1,1,7,7,3,3,651-6479337,09/25/2010
Egbert,black,17,Female,USA,4,4,5,4,1,3,651-1589813,06/05/2015
Strudel,grey,18,Male,New Zealand,2,6,5,5,2,5,651-7867950,01/23/2013
Cougar,butterscotch,8,Male,China,2,5,3,3,7,4,651-8179727,01/28/2014
Linguini,salt and pepper,2,Male,France,1,3,5,5,3,3,651-2473458,07/11/2020
Chew,black,10,Female,UK,2,2,5,5,2,2,651-7053700,04/04/2018
Hopie,tabby,8,Female,France,1,6,6,1,1,1,651-6571818,09/23/2017
Cuervo,brown,3,Male,UK,5,4,2,6,1,2,651-6069839,10/30/2019
Jezebel,brown,10,Female,Canada,3,7,5,5,5,7,651-4489511,08/18/2020
Abigail,grey and brown,5,Male,Canada,7,3,7,5,1,1,651-7665305,04/09/2021
Cointreau,brown,16,Female,USA,5,1,2,2,3,3,651-8991036,05/20/2005
Beauty,black,8,Male,Canada,4,3,6,7,5,5,651-7406881,05/25/2020
Grayson,brown,3,Male,Germany,1,2,7,7,1,1,651-3307470,08/18/2020
Quidditch,orange,9,Female,France,1,2,7,7,1,1,651-8596611,03/20/2013
Cerberus,salt and pepper,19,Female,Thailand,5,4,4,3,2,2,651-2014344,04/15/2012
Chad,black,20,Female,Spain,5,5,3,5,5,6,651-1714366,03/16/2012
Bagel,grey,7,Male,USA,1,2,3,6,1,5,651-6305167,05/01/2016
Uranus,grey and brown,6,Female,Australia,3,4,6,3,1,1,651-6284035,06/25/2018
Aramis,grey and black,18,Female,Germany,2,2,5,5,2,4,651-4848083,08/10/2020
Poser,grey,5,Female,UK,4,2,5,5,2,4,651-7115585,05/01/2017
Ashley,white,10,Female,Spain,4,3,5,5,2,5,651-3392871,12/22/2019
Mac,grey and black,11,Female,New Zealand,2,5,5,5,5,4,651-1993869,04/05/2020
Megabyte,brown,4,Female,UK,2,3,5,6,2,2,651-6857637,07/07/2020
Jinxy,grey and brown,4,Female,France,2,5,5,5,1,2,651-7550654,08/05/2019
Kumheer,grey,3,Female,Canada,6,4,5,6,5,6,651-4194980,02/29/2020
Odette,brown,14,Male,UK,1,2,7,6,6,5,651-2775047,01/26/2019
Vivaldi,butterscotch,5,Male,Spain,1,3,6,4,1,1,651-7280629,02/27/2019
Tao,striped,12,Female,Australia,1,6,3,7,5,1,651-8479377,04/08/2020
Incey & Wincey,tabby,12,Female,Peru,1,6,7,3,1,1,651-2821001,01/24/2013
Verdi,tabby,10,Male,China,1,1,7,7,2,3,651-8646395,07/23/2012
Spaghetti,salt and pepper,2,Male,Germany,2,3,3,4,1,1,651-7402438,08/18/2020
Sally,butterscotch,15,Female,France,2,5,6,6,3,2,651-1634270,05/26/2019
Porsche,orange,5,Female,USA,5,2,7,6,1,6,651-6967158,03/14/2018
Orwell,white,18,Male,Thailand,2,1,6,7,1,1,651-5333843,06/11/2014
Clean-X,black,7,Female,Canada,2,7,3,1,1,4,651-4515484,05/10/2014
Frederick,tabby,13,Female,Australia,1,1,7,7,1,1,651-7944231,05/18/2018
Isolda,white,4,Male,China,3,3,4,5,1,1,651-3716085,11/01/2020
Cupid,grey,1,Female,Germany,1,2,7,7,2,1,651-4919296,02/16/2021
Tansy,peaches and cream,20,Female,USA,1,1,2,7,1,6,651-4058621,06/06/2002
Debra,brown,14,Male,Canada,2,5,6,5,5,5,651-2043620,08/30/2010
Canyon,grey,15,Female,USA,2,4,5,5,3,4,651-7061336,10/15/2014
Broody,brown,17,Female,China,7,1,7,7,1,7,651-9013236,06/05/2018
Albert,butterscotch,15,Male,Canada,7,7,1,1,1,1,651-8799397,03/16/2009
Alberta,grey and brown,17,Female,New Zealand,5,5,3,6,1,1,651-3799435,09/14/2019
Ginger,grey and black,18,Male,Peru,2,1,7,7,1,3,651-8938970,08/22/2017
Ella,peaches and cream,5,Male,France,1,4,6,3,4,1,651-3139235,05/03/2017
Libearty,tabby,20,Male,Germany,1,4,7,5,6,4,651-7034433,02/08/2003
Heathcliff,striped,3,Female,China,3,5,5,3,1,3,651-8322265,02/09/2021
Streisand,striped,1,Male,Thailand,1,2,5,6,2,3,651-4162229,08/22/2020
Vivaldi,brown,13,Female,China,1,1,7,7,2,2,651-6850749,06/29/2010
Averil,brown,10,Female,France,2,3,6,6,1,2,651-6433889,02/19/2021
Octavia,striped,4,Female,Spain,4,2,6,3,1,1,651-8274836,06/14/2020
Gloria,black,18,Male,France,1,6,7,6,3,5,651-3565016,02/03/2013
Anchovy,tabby,6,Female,Peru,3,4,6,5,1,4,651-3141807,09/02/2017
Dwight,brown,10,Male,China,2,5,5,4,1,1,651-7535527,04/25/2011
Kitty-Wan-Kenobi,butterscotch,2,Male,New Zealand,2,5,5,5,1,3,651-7039284,11/03/2020
Ayesha,striped,5,Male,Australia,2,6,6,5,2,6,651-5107304,11/07/2016
Gismo,black,21,Male,Australia,1,3,6,5,5,7,651-4492921,04/22/2006
Brenda,white,5,Female,New Zealand,1,2,6,7,1,3,651-7866718,02/05/2020
Octavia,striped,7,Female,UK,6,5,5,5,1,1,651-3240621,09/03/2014
Mohawk,butterscotch,5,Male,Peru,1,2,6,2,4,4,651-1795725,07/12/2017
Anna,tabby,9,Male,China,2,7,3,1,5,3,651-2916884,03/07/2021
Gale,grey and brown,10,Female,UK,1,1,5,7,2,1,651-1898476,02/12/2020
Kiwi,salt and pepper,7,Female,USA,1,6,6,7,1,1,651-2233633,10/20/2017
Kona,white,9,Male,France,1,1,5,7,1,1,651-3920598,05/28/2018
Pawndemonium,grey,10,Male,Canada,6,4,2,3,5,6,651-4552032,02/04/2015
Silas,orange,5,Female,UK,2,1,6,6,6,6,651-3638313,10/20/2020
Spaghetti,brown,13,Male,Canada,3,1,3,3,4,7,651-7523761,06/29/2018
Baubles,grey,12,Female,UK,4,7,1,1,1,1,651-8424302,10/02/2010
Edward,black,3,Female,Canada,3,7,6,2,1,5,651-7439990,07/27/2018
Vegemite,tabby,1,Male,Germany,2,2,5,5,1,5,651-5255973,07/30/2020
Stella,black,8,Female,USA,3,1,5,6,1,6,651-4656801,03/08/2014
Mustard,grey and black,11,Male,Australia,4,6,4,3,1,3,651-3445392,04/27/2018
Avalon,peaches and cream,9,Male,Australia,5,2,4,5,5,6,651-2821745,05/05/2019
Big Boy,striped,6,Male,New Zealand,3,4,6,5,1,2,651-6883372,05/02/2019
Cougar,grey and black,5,Female,Germany,2,3,5,6,2,4,651-3806801,04/13/2018
Burrito,white,10,Male,Peru,2,3,3,4,6,3,651-4411696,01/19/2015
Cat-man-do,butterscotch,1,Male,UK,2,1,6,6,5,5,651-4835362,06/04/2020
Bangkok,grey,16,Female,Australia,1,6,3,2,1,1,651-8184492,03/09/2019
Picasso,white,10,Male,Thailand,1,2,6,6,6,7,651-5315423,12/25/2019
Barbra,striped,11,Female,Thailand,7,1,6,6,1,2,651-7428510,05/26/2019
Ivanhoe,grey,10,Male,USA,5,7,2,1,2,7,651-4171102,09/15/2020
Mishka,black,18,Female,France,1,1,5,7,7,1,651-3823048,11/19/2018
Thomas,striped,6,Female,Germany,2,5,6,5,1,5,651-8549726,08/02/2018
Legolas,butterscotch,13,Female,France,2,3,6,7,2,5,651-6543898,06/26/2016
Conway,brown,7,Female,Australia,1,5,6,7,5,2,651-6269593,06/30/2016
Conan,salt and pepper,7,Male,France,5,7,6,5,7,7,651-8635252,08/09/2014
Winona,salt and pepper,18,Female,Thailand,6,7,7,1,1,1,651-6403848,05/04/2008
Albertyne,black,7,Female,Spain,1,2,7,5,1,3,651-4866921,02/17/2018
Molasses,grey and black,6,Male,Spain,3,5,3,3,5,5,651-5182238,06/26/2019
Rasputin,salt and pepper,15,Female,France,3,5,5,4,3,3,651-5761726,10/15/2015
Helen,salt and pepper,18,Male,New Zealand,3,5,5,5,2,1,651-4795154,09/27/2006
Pussamaccattus,grey and black,7,Male,Spain,5,5,7,6,3,7,651-7857325,09/06/2017
Mushroom,grey,10,Female,New Zealand,1,7,6,5,1,2,651-7394190,03/31/2021
Piebald,butterscotch,4,Female,USA,1,5,5,5,5,3,651-5598508,02/05/2021
Freckles,striped,5,Female,UK,5,1,7,7,6,1,651-1762296,06/29/2017
Lilly,striped,12,Male,Peru,6,1,4,7,1,5,651-5455846,01/14/2020
Large,brown,17,Female,Peru,2,5,7,3,1,2,651-1917269,06/22/2017
D.J.,tabby,8,Female,USA,4,6,4,5,4,4,651-6035529,02/12/2016
Poppy,orange,6,Female,China,1,4,6,6,5,1,651-7514290,08/04/2018
Winnie,striped,6,Female,Australia,5,3,6,6,4,7,651-6733871,11/19/2015
Clicquot,salt and pepper,9,Female,Germany,2,1,3,7,1,5,651-6169371,10/30/2015
Wheresy,striped,4,Male,USA,3,3,6,5,2,5,651-4426719,06/02/2020
Nancy,striped,3,Female,UK,3,6,5,3,2,6,651-8717726,04/09/2019
Barley,orange,3,Female,Australia,3,5,5,2,4,3,651-4810867,08/23/2020
Fishy,white,10,Male,USA,4,3,5,5,4,3,651-4121456,12/03/2017
Foster,peaches and cream,11,Male,France,2,5,5,3,5,5,651-8317857,10/29/2019
Cognac,striped,5,Female,Germany,5,3,6,3,3,7,651-3329212,03/10/2017
Alfred,peaches and cream,14,Male,Peru,7,7,5,2,4,6,651-4690548,02/01/2015
Whispurr,grey and black,19,Male,Germany,1,1,5,7,4,4,651-7341632,03/23/2021
Plonk,tabby,5,Female,UK,2,7,6,1,1,1,651-3294719,12/09/2018
Pots,grey,6,Female,Australia,4,2,5,5,5,1,651-2438067,05/26/2020
Sassy,butterscotch,15,Male,New Zealand,1,5,5,6,1,5,651-8783073,08/04/2017
Fibb,striped,3,Female,UK,1,2,6,6,1,1,651-2729815,12/27/2020
Genny,orange,8,Male,Peru,1,2,5,5,1,2,651-8241831,03/29/2015
Cato,brown,12,Female,Thailand,1,2,7,6,1,1,651-8080277,10/27/2011
Pip,brown,6,Female,Canada,1,1,7,7,4,6,651-7069966,05/09/2017
Gidget,black,19,Female,Peru,1,6,7,1,2,2,651-2987858,06/27/2017
Hello Kitty,grey,10,Male,USA,3,1,5,3,3,1,651-7576658,12/04/2011
Gershom,striped,15,Female,USA,1,1,7,7,5,1,651-2399822,10/30/2013
Earvin,brown,7,Male,Australia,3,3,7,6,1,3,651-4349679,01/03/2018
Janis,black,16,Male,France,1,5,2,2,1,1,651-6698259,09/11/2016
Cocoa,grey and brown,9,Male,Thailand,1,6,5,3,1,2,651-4040685,10/13/2013
Pizza,black,6,Male,Australia,4,1,4,7,4,7,651-5744725,09/17/2019
Eluned,salt and pepper,4,Female,Australia,2,7,7,1,2,3,651-5664463,10/23/2020
Marengo,grey,6,Female,Australia,1,2,7,6,5,4,651-3206467,03/24/2021
Neneh,peaches and cream,18,Female,China,2,5,2,2,3,2,651-2023206,12/17/2013
Gallagher,striped,11,Female,Australia,4,1,5,6,3,7,651-5237213,07/06/2019
Megabucks,brown,5,Female,China,1,6,6,3,5,1,651-2480924,05/16/2018
Kipper,grey and brown,9,Male,UK,2,3,6,2,2,2,651-1784550,11/17/2019
Lucy,peaches and cream,16,Female,UK,2,2,5,6,2,5,651-6654278,03/19/2016
Leo,brown,13,Female,Australia,2,6,5,2,3,1,651-6328861,10/09/2008
Legolas,butterscotch,6,Male,France,1,4,7,6,1,3,651-7361353,07/29/2020
Noisy,butterscotch,6,Male,USA,3,1,6,6,5,5,651-2057000,11/17/2020
Treble,brown,10,Male,UK,1,2,7,7,1,1,651-4406217,09/24/2013
Alfreda,salt and pepper,2,Female,New Zealand,5,5,6,4,1,1,651-2284560,12/17/2019
Barton,grey,13,Male,USA,1,3,4,6,5,7,651-5290334,12/03/2019
Sonny,brown,9,Female,China,5,1,6,7,1,3,651-6377211,03/23/2013
Tootie,orange,4,Female,Thailand,5,1,6,6,1,7,651-6428757,06/12/2018
Snoochie Boochie,salt and pepper,1,Male,New Zealand,4,3,5,5,1,4,651-6021516,04/15/2020
Coors,black,3,Female,France,5,1,5,5,1,1,651-7391890,05/21/2019
Mouser,striped,3,Female,New Zealand,5,3,5,5,4,4,651-7966216,08/01/2019
Gimpie,tabby,2,Male,Peru,1,6,5,2,1,1,651-6530652,03/11/2020
Dylan,striped,1,Female,New Zealand,7,2,6,6,1,3,651-5117966,08/14/2020
Jolene,grey and brown,8,Male,China,2,4,5,6,1,4,651-7691566,08/15/2016
Aspen,grey and brown,5,Male,France,2,6,6,2,5,1,651-8979471,09/17/2018
Ethan,white,8,Female,Peru,1,3,6,3,1,2,651-8077283,06/16/2020
Spaz,salt and pepper,4,Female,Peru,1,7,6,1,2,3,651-7778588,11/15/2020
Miraclaw,striped,10,Male,France,1,1,7,7,1,5,651-5010846,07/09/2016
Xerox,salt and pepper,19,Female,China,5,5,5,4,4,5,651-3754185,01/03/2016
Aragog,brown,7,Male,USA,3,4,4,4,4,4,651-4261356,06/16/2018
Coca,grey and brown,2,Female,Canada,5,5,4,3,3,3,651-8427111,01/11/2021
Cat Damon,brown,6,Female,New Zealand,2,1,6,6,2,6,651-8748826,08/09/2019
Legs,tabby,5,Female,USA,1,1,7,7,1,1,651-7219099,04/11/2017
Roxanne,striped,5,Male,China,3,3,4,4,6,2,651-5889949,02/01/2018
Tabitha,grey and black,4,Female,Germany,2,3,5,7,7,5,651-6174002,09/10/2019
Fishy,grey,11,Female,China,3,7,5,1,2,6,651-2946308,06/07/2013
Salvador,tabby,6,Male,Thailand,3,7,6,4,2,7,651-6998653,10/17/2018
Sean,brown,15,Female,USA,2,1,6,7,5,2,651-4428139,03/02/2013
Bagel,butterscotch,11,Female,New Zealand,5,4,5,4,4,4,651-2621499,05/23/2015
Astrid,grey,7,Female,China,5,5,5,5,3,6,651-6489471,02/07/2020
Harvey,tabby,18,Female,Australia,1,5,6,4,3,5,651-7774977,10/09/2015
Beastmaster,black,12,Male,Spain,1,7,3,3,6,1,651-5819329,04/27/2015
Herbie,brown,12,Female,Peru,4,4,5,5,3,5,651-3257901,02/28/2014
Choo,grey and brown,5,Female,New Zealand,2,7,3,3,2,2,651-3983911,10/21/2020
Elaine,brown,12,Male,Thailand,1,7,7,4,6,1,651-7888719,12/29/2016
Michelle,black,12,Female,France,2,1,5,7,1,5,651-1617263,03/27/2015
Angie,brown,2,Male,France,1,1,6,7,7,2,651-4629998,08/29/2020
Disco,grey and brown,4,Male,UK,5,7,7,6,5,7,651-1590104,07/03/2017
Monarch,peaches and cream,3,Female,UK,4,4,7,5,1,1,651-7425433,08/23/2018
Brenda,grey and brown,6,Male,Spain,1,3,7,6,5,2,651-5750108,11/14/2020
Harrison,white,10,Male,Thailand,4,1,7,7,1,2,651-5671061,08/24/2014
Bella,white,19,Female,New Zealand,5,1,6,7,1,6,651-3149112,09/16/2002
Tate,grey and brown,3,Male,New Zealand,1,6,7,7,2,1,651-4402274,08/15/2018
Marcus,peaches and cream,14,Male,New Zealand,4,3,7,6,6,7,651-1947778,07/09/2013
Atticus,butterscotch,16,Female,Thailand,2,1,6,7,1,2,651-5554542,12/03/2020
Daiquiri,butterscotch,2,Male,New Zealand,1,3,5,5,2,1,651-3723293,01/16/2020
Furrgus,grey,5,Male,Thailand,1,6,5,2,2,3,651-4381105,12/28/2018
Montezuma,orange,6,Female,Thailand,6,1,6,7,2,6,651-3316280,02/04/2019
Anika,butterscotch,2,Male,Spain,3,6,5,5,3,3,651-7713427,12/17/2020
Linux,grey,20,Female,Australia,3,6,4,6,4,5,651-4336856,09/12/2015
Mouser,black,8,Male,Germany,2,2,7,6,5,5,651-8905140,02/03/2020
Dough Boy,grey,1,Female,Thailand,3,7,5,7,1,1,651-8791471,03/02/2021
Church,brown,21,Male,France,1,1,6,7,3,4,651-6777887,09/01/2009
Fortune,brown,6,Male,Thailand,1,2,5,6,2,1,651-1952698,03/10/2020
Marengo,butterscotch,16,Female,USA,1,2,7,6,1,1,651-6717710,01/31/2013
Tansy,striped,9,Male,USA,1,5,7,7,1,5,651-2829146,10/15/2016
Nibble,striped,2,Female,China,4,1,6,6,2,5,651-5596410,04/23/2019
Friday,grey and black,10,Female,China,3,5,5,5,3,5,651-6239635,02/13/2018
Hansel,grey and black,1,Female,Thailand,1,1,7,7,3,3,651-7608986,12/26/2020
Mufasa,grey,17,Female,Germany,6,2,5,7,6,7,651-2655170,11/10/2018
Yates,grey,3,Female,Germany,1,1,6,6,2,2,651-1722549,10/14/2020
Zonker,grey and black,6,Female,Australia,2,1,6,6,2,2,651-7191130,02/10/2019
Picasso,white,2,Female,France,1,2,7,7,6,6,651-6345717,12/25/2020
Hamlet,grey,8,Male,Spain,6,1,7,7,2,5,651-5041881,07/01/2017
Caramel,white,4,Male,Germany,1,3,6,3,1,1,651-3824781,12/25/2020
Dale,tabby,4,Female,Spain,1,7,6,1,7,1,651-7735264,08/14/2019
Panthro,grey and black,1,Male,Thailand,1,2,6,6,3,2,651-3985482,07/28/2020
Tweeter,grey,3,Male,USA,5,2,6,6,7,6,651-2100108,02/01/2020
Paula,tabby,17,Female,Australia,6,1,4,2,6,1,651-2140252,01/30/2019
Tina,grey and black,3,Male,Germany,2,1,5,6,2,5,651-4492175,07/10/2020
Eden,brown,12,Male,Germany,6,2,6,6,2,6,651-7410302,02/13/2016
Paws,white,6,Male,Thailand,2,4,6,6,1,1,651-8282399,03/21/2016
Floyd,white,9,Female,Germany,1,5,6,3,2,1,651-7602036,07/22/2018
Dot,grey and brown,12,Female,Germany,2,1,7,7,2,1,651-7466539,02/19/2015
Tangelo,white,5,Male,UK,2,3,4,5,1,2,651-7086683,11/20/2017
Cider,brown,18,Male,Spain,1,1,7,7,5,5,651-5565894,01/07/2014
Peking,tabby,1,Female,USA,4,1,3,7,1,6,651-2883848,10/17/2020
Natasha,grey and black,8,Female,UK,1,4,7,7,7,4,651-8328163,10/08/2020
Jabberwocky,grey and brown,9,Male,France,2,1,5,7,1,3,651-7613826,05/01/2015
Damon,butterscotch,8,Female,Germany,1,7,7,2,1,1,651-6664430,01/30/2021
Columbus,black,18,Female,Australia,3,5,5,3,2,6,651-4669894,03/06/2012
Cozmo,tabby,7,Female,Peru,4,3,6,6,3,1,651-2602053,02/02/2019
Ayesha,tabby,1,Female,Australia,1,1,6,6,1,2,651-7045987,11/27/2020
Marlon,black,5,Male,China,5,1,6,7,2,5,651-8728107,12/24/2018
Abraham,striped,7,Male,UK,1,5,5,5,6,7,651-8006478,11/17/2014
Hiho,brown,8,Female,Thailand,2,1,5,7,1,1,651-4463273,09/01/2018
Jessica,butterscotch,16,Male,France,5,5,7,5,1,6,651-4301001,02/20/2020
William Shakespaw,black,19,Male,Canada,1,2,5,6,6,3,651-8663207,06/15/2014
Judy,salt and pepper,9,Male,USA,3,7,7,5,1,1,651-2055896,04/12/2014
Crouton,butterscotch,5,Male,Germany,6,1,6,7,1,6,651-2787028,10/06/2018
Broody,black,17,Female,Germany,1,2,5,7,1,1,651-7632914,12/02/2009
Plonk,tabby,18,Female,Australia,1,6,7,4,1,7,651-7154918,12/11/2015
Elle Mcphupup,brown,14,Female,Australia,3,1,7,7,4,2,651-3558963,12/04/2017
The Great Catsby,salt and pepper,3,Male,China,2,1,7,7,2,2,651-6966328,09/03/2020
Violet,tabby,11,Female,USA,2,5,5,3,6,1,651-2923168,09/01/2012
Camelot,black,4,Male,Germany,1,5,5,6,6,6,651-3536340,07/17/2017
Arthur,orange,2,Male,UK,2,7,5,7,1,6,651-8218436,10/13/2019
Dough Boy,black,20,Female,Germany,6,3,7,7,1,1,651-5868634,07/05/2012
Kitty Poppins,salt and pepper,1,Male,UK,1,7,5,2,1,7,651-7078307,11/18/2020
Peter,grey and black,8,Male,China,2,2,7,7,2,6,651-5869432,01/27/2015
Cat Damon,white,6,Female,Peru,2,7,6,3,2,4,651-3009188,08/05/2019
Pouncer,peaches and cream,15,Female,Australia,2,3,6,6,1,5,651-4126909,09/06/2012
Wabush,brown,13,Female,UK,3,2,6,6,1,5,651-3535910,10/28/2017
James,tabby,19,Female,Spain,1,2,6,6,1,2,651-2430604,12/02/2003
Theodosia,tabby,3,Female,France,2,2,5,6,5,2,651-2329417,03/29/2020
Joan,orange,7,Female,USA,2,7,4,5,3,5,651-1853720,06/16/2020
Clarissa,salt and pepper,9,Female,China,5,5,6,3,1,1,651-8668073,10/23/2015
Natalie,grey and brown,8,Male,Canada,1,4,7,4,2,6,651-8119556,03/08/2014
Desiree,butterscotch,3,Female,China,1,4,7,7,1,2,651-1647487,06/30/2020
Moxie,grey and brown,4,Male,Australia,2,1,7,7,5,2,651-6460800,04/06/2018
Taz,white,8,Male,USA,2,3,6,3,6,7,651-2386086,03/28/2018
Grizabella,salt and pepper,10,Female,Canada,3,7,7,7,1,3,651-6081108,12/21/2015
Champers,white,2,Male,China,4,2,6,7,2,6,651-3630896,08/03/2020
Fergie,grey,5,Female,USA,1,5,5,5,1,1,651-6152524,12/03/2018
